2025-09-05 16:38:33 v-generate-ssl-cert  'wp.deb12.localhost.dev' 'info@wp.deb12.localhost.dev' 'US' 'California' 'San Francisco' 'myVesta Control Panel' 'IT' 'www.wp.deb12.localhost.dev'
2025-09-05 16:38:33 v-add-web-domain-ssl  'test' 'wp.deb12.localhost.dev' '/home/test/tmp/wp.deb12.localhost.dev' 'same' 'no'
2025-09-05 16:38:33 v-install-unsigned-ssl  'wp.deb12.localhost.dev' 'no'
2025-09-05 16:38:31 v-add-web-domain  'test' 'wp.deb12.localhost.dev' '127.0.0.1' 'no' 'www.wp.deb12.localhost.dev' 'jpeg,jpg,png,gif,bmp,ico,svg,tif,tiff,css,js,ttf,otf,webp,txt,csv,rtf,doc,docx,xls,xlsx,ppt,pptx,odf,odp,ods,odt,pdf,psd,ai,eot,eps,ps,zip,tar,tgz,gz,rar,bz2,7z,aac,m4a,mp3,mp4,ogg,wav,wma,3gp,avi,flv,m4v,mkv,mov,mpeg,mpg,wmv,exe,iso,dmg,swf,woff,woff2'
2025-09-05 16:38:34 v-add-dns-domain  'test' 'wp.deb12.localhost.dev' '127.0.0.1' '' '' '' '' '' '' 'test0' 'test1' 'test2'
2025-09-05 16:38:34 v-add-dns-record  'test' 'wp.deb12.localhost.dev' '_domainkey' 'TXT' '"t=y; o=~;"' '' '' 'no'
2025-09-05 16:38:34 v-add-dns-record  'test' 'wp.deb12.localhost.dev' 'mail._domainkey' 'TXT' '"v=DKIM1\; k=rsa\; p=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"'
2025-09-05 16:38:34 v-add-mail-domain  'test' 'wp.deb12.localhost.dev'
2025-09-05 16:38:42 v-add-firewall-chain  'MAIL'
2025-09-05 16:38:42 v-add-firewall-ban  '81.30.107.145' 'MAIL'
2025-09-05 16:38:43 v-delete-firewall-ban  '81.30.107.177' 'MAIL'
2025-09-05 16:39:09 v-add-firewall-chain  'MAIL'
2025-09-05 16:39:09 v-add-firewall-ban  '81.30.107.159' 'MAIL'
2025-09-05 16:39:13 v-add-firewall-chain  'MAIL'
2025-09-05 16:39:13 v-add-firewall-ban  '193.46.255.185' 'MAIL'
2025-09-05 16:39:14 v-delete-firewall-ban  '80.94.95.229' 'MAIL'
2025-09-05 16:39:25 v-delete-firewall-ban  '81.30.107.160' 'MAIL'
2025-09-05 16:39:32 v-add-firewall-chain  'MAIL'
2025-09-05 16:39:32 v-add-firewall-ban  '81.30.107.29' 'MAIL'
2025-09-05 16:39:44 v-delete-firewall-ban  '81.30.107.189' 'MAIL'
2025-09-05 16:40:07 v-add-firewall-chain  'MAIL'
2025-09-05 16:40:07 v-add-firewall-ban  '81.30.107.177' 'MAIL'
2025-09-05 16:40:13 v-add-firewall-chain  'MAIL'
2025-09-05 16:40:13 v-add-firewall-ban  '80.94.95.229' 'MAIL'
2025-09-05 16:40:39 v-generate-ssl-cert  'wp2.deb12.localhost.dev' 'info@wp2.deb12.localhost.dev' 'US' 'California' 'San Francisco' 'myVesta Control Panel' 'IT' 'www.wp2.deb12.localhost.dev'
2025-09-05 16:40:39 v-add-web-domain-ssl  'test' 'wp2.deb12.localhost.dev' '/home/test/tmp/wp2.deb12.localhost.dev' 'same' 'no'
2025-09-05 16:40:39 v-install-unsigned-ssl  'wp2.deb12.localhost.dev' 'no'
2025-09-05 16:40:38 v-add-web-domain  'test' 'wp2.deb12.localhost.dev' '127.0.0.1' 'no' 'www.wp2.deb12.localhost.dev' 'jpeg,jpg,png,gif,bmp,ico,svg,tif,tiff,css,js,ttf,otf,webp,txt,csv,rtf,doc,docx,xls,xlsx,ppt,pptx,odf,odp,ods,odt,pdf,psd,ai,eot,eps,ps,zip,tar,tgz,gz,rar,bz2,7z,aac,m4a,mp3,mp4,ogg,wav,wma,3gp,avi,flv,m4v,mkv,mov,mpeg,mpg,wmv,exe,iso,dmg,swf,woff,woff2'
2025-09-05 16:40:40 v-add-dns-domain  'test' 'wp2.deb12.localhost.dev' '127.0.0.1' '' '' '' '' '' '' 'test0' 'test1' 'test2'
2025-09-05 16:40:40 v-add-dns-record  'test' 'wp2.deb12.localhost.dev' '_domainkey' 'TXT' '"t=y; o=~;"' '' '' 'no'
